"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"48";"0";"00";"PV20  ";"2010JJ00";"   19640";"     100";"    34.1";"    3525";"    18.0";"    4815"
"49";"0";"00";"PV20  ";"2011JJ00";"   19415";"     100";"    33.5";"    3525";"    18.1";"    4700"
"50";"0";"00";"PV20  ";"2012JJ00";"   19145";"     100";"    33.0";"    3265";"    17.1";"    4230"
"51";"0";"00";"PV20  ";"2013JJ00";"   19840";"     100";"    34.1";"    3390";"    17.1";"    4400"
"52";"0";"00";"PV20  ";"2014JJ00";"   17115";"     100";"    29.4";"    2900";"    16.9";"    3715"
"53";"0";"00";"PV20  ";"2015JJ00";"   16545";"     100";"    28.3";"    2790";"    16.9";"    3620"
"54";"0";"00";"PV20  ";"2016JJ00";"   15875";"     100";"    27.2";"    2445";"    15.4";"    3145"
"55";"0";"00";"PV20  ";"2017JJ00";"   11670";"     100";"    20.0";"    2030";"    17.4";"    2805"
"56";"0";"00";"PV21  ";"2010JJ00";"   14385";"     100";"    22.3";"    2635";"    18.3";"    3350"
"57";"0";"00";"PV21  ";"2011JJ00";"   14635";"     100";"    22.6";"    2540";"    17.4";"    3265"
"58";"0";"00";"PV21  ";"2012JJ00";"   14140";"     100";"    21.8";"    2430";"    17.2";"    3070"
"59";"0";"00";"PV21  ";"2013JJ00";"   14590";"     100";"    22.6";"    2375";"    16.3";"    3105"
"60";"0";"00";"PV21  ";"2014JJ00";"   14300";"     100";"    22.1";"    2485";"    17.4";"    3175"
"61";"0";"00";"PV21  ";"2015JJ00";"   13025";"     100";"    20.2";"    2450";"    18.8";"    3300"
"62";"0";"00";"PV21  ";"2016JJ00";"   11235";"     100";"    17.4";"    2055";"    18.3";"    2645"
"63";"0";"00";"PV21  ";"2017JJ00";"    8710";"     100";"    13.5";"    1720";"    19.7";"    2355"
"64";"0";"00";"PV22  ";"2010JJ00";"   13155";"     100";"    26.8";"    1800";"    13.7";"    2405"
"65";"0";"00";"PV22  ";"2011JJ00";"   13660";"     100";"    27.8";"    2025";"    14.8";"    2710"
"66";"0";"00";"PV22  ";"2012JJ00";"   12980";"     100";"    26.4";"    1870";"    14.4";"    2540"
"67";"0";"00";"PV22  ";"2013JJ00";"   12455";"     100";"    25.4";"    1725";"    13.9";"    2380"
"68";"0";"00";"PV22  ";"2014JJ00";"   11080";"     100";"    22.7";"    1720";"    15.5";"    2575"
"69";"0";"00";"PV22  ";"2015JJ00";"    9995";"     100";"    20.5";"    1575";"    15.7";"    2220"
"70";"0";"00";"PV22  ";"2016JJ00";"    9020";"     100";"    18.5";"    1485";"    16.5";"    2035"
"71";"0";"00";"PV22  ";"2017JJ00";"    7420";"     100";"    15.1";"    1170";"    15.8";"    1660"
"72";"0";"00";"PV23  ";"2010JJ00";"   33940";"     100";"    30.0";"    4515";"    13.3";"    6080"
"73";"0";"00";"PV23  ";"2011JJ00";"   34400";"     100";"    30.3";"    4690";"    13.6";"    6120"
"74";"0";"00";"PV23  ";"2012JJ00";"   34325";"     100";"    30.2";"    4945";"    14.4";"    6550"
"75";"0";"00";"PV23  ";"2013JJ00";"   35475";"     100";"    31.1";"    4945";"    13.9";"    6330"
"76";"0";"00";"PV23  ";"2014JJ00";"   30470";"     100";"    26.7";"    4150";"    13.6";"    5385"
"77";"0";"00";"PV23  ";"2015JJ00";"   27200";"     100";"    23.8";"    3965";"    14.6";"    4965"
"78";"0";"00";"PV23  ";"2016JJ00";"   24930";"     100";"    21.8";"    3700";"    14.8";"    4640"
"79";"0";"00";"PV23  ";"2017JJ00";"   20690";"     100";"    18.0";"    3015";"    14.6";"    4145"
"80";"0";"00";"PV24  ";"2010JJ00";"   13120";"     100";"    33.8";"    1990";"    15.2";"    2825"
"81";"0";"00";"PV24  ";"2011JJ00";"   13820";"     100";"    35.3";"    2125";"    15.4";"    2915"
"82";"0";"00";"PV24  ";"2012JJ00";"   14095";"     100";"    35.6";"    2060";"    14.6";"    2890"
"83";"0";"00";"PV24  ";"2013JJ00";"   15115";"     100";"    37.9";"    2200";"    14.5";"    3030"
"84";"0";"00";"PV24  ";"2014JJ00";"   12270";"     100";"    30.7";"    2155";"    17.6";"    2840"
"85";"0";"00";"PV24  ";"2015JJ00";"   10960";"     100";"    27.3";"    1925";"    17.6";"    2505"
"86";"0";"00";"PV24  ";"2016JJ00";"    9870";"     100";"    24.4";"    1770";"    17.9";"    2285"
"87";"0";"00";"PV24  ";"2017JJ00";"    8595";"     100";"    21.1";"    1775";"    20.6";"    2365"
"88";"0";"00";"PV25  ";"2010JJ00";"   72580";"     100";"    36.3";"    8080";"    11.1";"   11025"
"89";"0";"00";"PV25  ";"2011JJ00";"   72570";"     100";"    36.2";"    7970";"    11.0";"   10590"
"90";"0";"00";"PV25  ";"2012JJ00";"   70035";"     100";"    34.8";"    7750";"    11.1";"   10365"
"91";"0";"00";"PV25  ";"2013JJ00";"   68065";"     100";"    33.8";"    8060";"    11.8";"   10975"
"92";"0";"00";"PV25  ";"2014JJ00";"   59230";"     100";"    29.3";"    8010";"    13.5";"   10365"
"93";"0";"00";"PV25  ";"2015JJ00";"   52015";"     100";"    25.7";"    7315";"    14.1";"    9600"
"94";"0";"00";"PV25  ";"2016JJ00";"   48415";"     100";"    23.8";"    6990";"    14.4";"    8895"
"95";"0";"00";"PV25  ";"2017JJ00";"   40290";"     100";"    19.7";"    5345";"    13.3";"    7330"
"96";"0";"00";"PV26  ";"2010JJ00";"   55865";"     100";"    45.8";"    6140";"    11.0";"    8030"
"97";"0";"00";"PV26  ";"2011JJ00";"   52775";"     100";"    42.9";"    6000";"    11.4";"    7705"
"98";"0";"00";"PV26  ";"2012JJ00";"   50545";"     100";"    40.9";"    5965";"    11.8";"    7775"
"99";"0";"00";"PV26  ";"2013JJ00";"   49815";"     100";"    40.0";"    5920";"    11.9";"    7710"
"100";"0";"00";"PV26  ";"2014JJ00";"   46610";"     100";"    37.2";"    5445";"    11.7";"    7040"
"101";"0";"00";"PV26  ";"2015JJ00";"   44650";"     100";"    35.3";"    4905";"    11.0";"    6465"
"102";"0";"00";"PV26  ";"2016JJ00";"   42525";"     100";"    33.4";"    4650";"    10.9";"    5960"
"103";"0";"00";"PV26  ";"2017JJ00";"   38825";"     100";"    30.2";"    4020";"    10.4";"    5295"
"104";"0";"00";"PV27  ";"2010JJ00";"  140040";"     100";"    52.5";"   16955";"    12.1";"   23240"
"105";"0";"00";"PV27  ";"2011JJ00";"  140555";"     100";"    52.2";"   17850";"    12.7";"   23830"
"106";"0";"00";"PV27  ";"2012JJ00";"  136810";"     100";"    50.5";"   16950";"    12.4";"   22185"
"107";"0";"00";"PV27  ";"2013JJ00";"  141425";"     100";"    51.9";"   16820";"    11.9";"   22480"
"108";"0";"00";"PV27  ";"2014JJ00";"  128250";"     100";"    46.8";"   16275";"    12.7";"   21080"
"109";"0";"00";"PV27  ";"2015JJ00";"  122805";"     100";"    44.5";"   14925";"    12.2";"   19260"
"110";"0";"00";"PV27  ";"2016JJ00";"  109260";"     100";"    39.2";"   13800";"    12.6";"   17475"
"111";"0";"00";"PV27  ";"2017JJ00";"   96505";"     100";"    34.3";"   11730";"    12.2";"   15300"
"112";"0";"00";"PV28  ";"2010JJ00";"  150040";"     100";"    42.8";"   21320";"    14.2";"   29130"
"113";"0";"00";"PV28  ";"2011JJ00";"  153545";"     100";"    43.5";"   22175";"    14.4";"   30470"
"114";"0";"00";"PV28  ";"2012JJ00";"  145500";"     100";"    41.0";"   21465";"    14.8";"   29225"
"115";"0";"00";"PV28  ";"2013JJ00";"  139375";"     100";"    39.1";"   21080";"    15.1";"   28485"
"116";"0";"00";"PV28  ";"2014JJ00";"  129735";"     100";"    36.3";"   19145";"    14.8";"   25305"
"117";"0";"00";"PV28  ";"2015JJ00";"  121295";"     100";"    33.7";"   18130";"    14.9";"   23535"
"118";"0";"00";"PV28  ";"2016JJ00";"  113795";"     100";"    31.4";"   16395";"    14.4";"   20910"
"119";"0";"00";"PV28  ";"2017JJ00";"   99260";"     100";"    27.2";"   13725";"    13.8";"   18275"
"120";"0";"00";"PV29  ";"2010JJ00";"   10620";"     100";"    27.8";"    1410";"    13.3";"    1960"
"121";"0";"00";"PV29  ";"2011JJ00";"   10640";"     100";"    27.9";"    1515";"    14.2";"    2035"
"122";"0";"00";"PV29  ";"2012JJ00";"    9805";"     100";"    25.7";"    1445";"    14.7";"    1885"
"123";"0";"00";"PV29  ";"2013JJ00";"    9200";"     100";"    24.1";"    1370";"    14.9";"    1830"
"124";"0";"00";"PV29  ";"2014JJ00";"    8025";"     100";"    21.1";"    1155";"    14.4";"    1525"
"125";"0";"00";"PV29  ";"2015JJ00";"    7360";"     100";"    19.3";"    1215";"    16.5";"    1675"
"126";"0";"00";"PV29  ";"2016JJ00";"    6665";"     100";"    17.5";"    1145";"    17.2";"    1480"
"127";"0";"00";"PV29  ";"2017JJ00";"    5165";"     100";"    13.5";"     905";"    17.5";"    1285"
"128";"0";"00";"PV30  ";"2010JJ00";"   99085";"     100";"    40.5";"   10700";"    10.8";"   14440"
"129";"0";"00";"PV30  ";"2011JJ00";"  100085";"     100";"    40.8";"   10415";"    10.4";"   13820"
"130";"0";"00";"PV30  ";"2012JJ00";"   99950";"     100";"    40.6";"   10365";"    10.4";"   13610"
"131";"0";"00";"PV30  ";"2013JJ00";"   99010";"     100";"    40.1";"   10850";"    11.0";"   14335"
"132";"0";"00";"PV30  ";"2014JJ00";"   90270";"     100";"    36.4";"    9830";"    10.9";"   12570"
"133";"0";"00";"PV30  ";"2015JJ00";"   82365";"     100";"    33.1";"    9085";"    11.0";"   11625"
"134";"0";"00";"PV30  ";"2016JJ00";"   71245";"     100";"    28.5";"    8260";"    11.6";"   10410"
"135";"0";"00";"PV30  ";"2017JJ00";"   60035";"     100";"    23.9";"    6765";"    11.3";"    9110"
"136";"0";"00";"PV31  ";"2010JJ00";"   46985";"     100";"    41.9";"    5295";"    11.3";"    7305"
"137";"0";"00";"PV31  ";"2011JJ00";"   51075";"     100";"    45.5";"    5465";"    10.7";"    7250"
"138";"0";"00";"PV31  ";"2012JJ00";"   48495";"     100";"    43.2";"    5150";"    10.6";"    6830"
"139";"0";"00";"PV31  ";"2013JJ00";"   45695";"     100";"    40.7";"    4915";"    10.8";"    6360"
"140";"0";"00";"PV31  ";"2014JJ00";"   44580";"     100";"    39.8";"    4545";"    10.2";"    5805"
"141";"0";"00";"PV31  ";"2015JJ00";"   40440";"     100";"    36.2";"    4480";"    11.1";"    5660"
"142";"0";"00";"PV31  ";"2016JJ00";"   35060";"     100";"    31.4";"    4255";"    12.1";"    5435"
"143";"0";"00";"PV31  ";"2017JJ00";"   30470";"     100";"    27.3";"    3395";"    11.1";"    4650"
"144";"0";"00";"PV99  ";"2010JJ00";"    1015";"     100";"     0.0";"     100";"    10.0";"     120"
"145";"0";"00";"PV99  ";"2011JJ00";"     795";"     100";"";"      55";"     7.1";"      80"
"146";"0";"00";"PV99  ";"2012JJ00";"     625";"     100";"";"      45";"     7.2";"      60"
"147";"0";"00";"PV99  ";"2013JJ00";"     585";"     100";"";"      50";"     8.3";"      70"
"148";"0";"00";"PV99  ";"2014JJ00";"     660";"     100";"";"      55";"     8.0";"      75"
"149";"0";"00";"PV99  ";"2015JJ00";"     445";"     100";"";"      25";"     6.1";"      45"
"150";"0";"00";"PV99  ";"2016JJ00";"     425";"     100";"";"      20";"     5.0";"      30"
"151";"0";"00";"PV99  ";"2017JJ00";"     645";"     100";"";"      15";"     2.2";"      20"
"3864";"0";"01";"PV20  ";"2010JJ00";"    4945";"      25";"     8.6";"     290";"     5.9";"     380"
"3865";"0";"01";"PV20  ";"2011JJ00";"    4295";"      22";"     7.4";"     270";"     6.3";"     345"
"3866";"0";"01";"PV20  ";"2012JJ00";"    4845";"      25";"     8.3";"     255";"     5.3";"     345"
"3867";"0";"01";"PV20  ";"2013JJ00";"    5170";"      26";"     8.9";"     305";"     5.9";"     395"
"3868";"0";"01";"PV20  ";"2014JJ00";"    4510";"      26";"     7.7";"     290";"     6.4";"     350"
"3869";"0";"01";"PV20  ";"2015JJ00";"    4670";"      28";"     8.0";"     250";"     5.4";"     320"
"3870";"0";"01";"PV20  ";"2016JJ00";"    4320";"      27";"     7.4";"     165";"     3.8";"     210"
"3871";"0";"01";"PV20  ";"2017JJ00";"    2920";"      25";"     5.0";"      95";"     3.3";"     130"
"3872";"0";"01";"PV21  ";"2010JJ00";"    3275";"      23";"     5.1";"     220";"     6.7";"     255"
"3873";"0";"01";"PV21  ";"2011JJ00";"    3090";"      21";"     4.8";"     150";"     4.8";"     200"
"3874";"0";"01";"PV21  ";"2012JJ00";"    2965";"      21";"     4.6";"     155";"     5.2";"     190"
"3875";"0";"01";"PV21  ";"2013JJ00";"    3250";"      22";"     5.0";"     220";"     6.8";"     310"
"3876";"0";"01";"PV21  ";"2014JJ00";"    3425";"      24";"     5.3";"     205";"     6.0";"     275"
"3877";"0";"01";"PV21  ";"2015JJ00";"    3025";"      23";"     4.7";"     200";"     6.6";"     260"
"3878";"0";"01";"PV21  ";"2016JJ00";"    2300";"      20";"     3.6";"     160";"     7.0";"     205"
"3879";"0";"01";"PV21  ";"2017JJ00";"    1655";"      19";"     2.6";"     110";"     6.5";"     175"
"3880";"0";"01";"PV22  ";"2010JJ00";"    2915";"      22";"     5.9";"     160";"     5.5";"     220"
"3881";"0";"01";"PV22  ";"2011JJ00";"    2430";"      18";"     4.9";"     155";"     6.3";"     215"
"3882";"0";"01";"PV22  ";"2012JJ00";"    2635";"      20";"     5.4";"     150";"     5.7";"     210"
"3883";"0";"01";"PV22  ";"2013JJ00";"    2225";"      18";"     4.5";"     125";"     5.6";"     175"
"3884";"0";"01";"PV22  ";"2014JJ00";"    2180";"      20";"     4.5";"     130";"     5.9";"     180"
"3885";"0";"01";"PV22  ";"2015JJ00";"    2155";"      22";"     4.4";"     140";"     6.5";"     190"
"3886";"0";"01";"PV22  ";"2016JJ00";"    1735";"      19";"     3.5";"     115";"     6.7";"     160"
"3887";"0";"01";"PV22  ";"2017JJ00";"    1200";"      16";"     2.4";"      60";"     5.0";"     105"
"3888";"0";"01";"PV23  ";"2010JJ00";"    8320";"      25";"     7.4";"     275";"     3.3";"     370"
"3889";"0";"01";"PV23  ";"2011JJ00";"    8550";"      25";"     7.5";"     310";"     3.6";"     420"
"3890";"0";"01";"PV23  ";"2012JJ00";"    7935";"      23";"     7.0";"     285";"     3.6";"     360"
"3891";"0";"01";"PV23  ";"2013JJ00";"    8780";"      25";"     7.7";"     355";"     4.0";"     465"
"3892";"0";"01";"PV23  ";"2014JJ00";"    8150";"      27";"     7.2";"     375";"     4.6";"     495"
"3893";"0";"01";"PV23  ";"2015JJ00";"    7815";"      29";"     6.9";"     355";"     4.5";"     490"
"3894";"0";"01";"PV23  ";"2016JJ00";"    6615";"      27";"     5.8";"     300";"     4.5";"     425"
"3895";"0";"01";"PV23  ";"2017JJ00";"    5710";"      28";"     5.0";"     210";"     3.7";"     310"
"3896";"0";"01";"PV24  ";"2010JJ00";"    1505";"      11";"     3.9";"      65";"     4.4";"     100"
"3897";"0";"01";"PV24  ";"2011JJ00";"    1625";"      12";"     4.1";"      55";"     3.4";"      70"
"3898";"0";"01";"PV24  ";"2012JJ00";"    1665";"      12";"     4.2";"      60";"     3.5";"      75"
"3899";"0";"01";"PV24  ";"2013JJ00";"    1740";"      12";"     4.4";"      80";"     4.5";"     110"
"3900";"0";"01";"PV24  ";"2014JJ00";"    1695";"      14";"     4.2";"      70";"     4.1";"     100"
"3901";"0";"01";"PV24  ";"2015JJ00";"    1685";"      15";"     4.2";"      75";"     4.6";"      95"
"3902";"0";"01";"PV24  ";"2016JJ00";"    1625";"      16";"     4.0";"      65";"     4.0";"      95"
"3903";"0";"01";"PV24  ";"2017JJ00";"     795";"       9";"     1.9";"      35";"     4.7";"      45"
"3904";"0";"01";"PV25  ";"2010JJ00";"   14135";"      19";"     7.1";"     565";"     4.0";"     740"
"3905";"0";"01";"PV25  ";"2011JJ00";"   13390";"      18";"     6.7";"     445";"     3.3";"     600"
"3906";"0";"01";"PV25  ";"2012JJ00";"   14070";"      20";"     7.0";"     485";"     3.4";"     670"
"3907";"0";"01";"PV25  ";"2013JJ00";"   12730";"      19";"     6.3";"     480";"     3.8";"     670"
"3908";"0";"01";"PV25  ";"2014JJ00";"   11850";"      20";"     5.9";"     680";"     5.7";"     910"
"3909";"0";"01";"PV25  ";"2015JJ00";"    9940";"      19";"     4.9";"     495";"     5.0";"     650"
"3910";"0";"01";"PV25  ";"2016JJ00";"    9670";"      20";"     4.8";"     445";"     4.6";"     565"
"3911";"0";"01";"PV25  ";"2017JJ00";"    7040";"      17";"     3.4";"     250";"     3.5";"     340"
"3912";"0";"01";"PV26  ";"2010JJ00";"    7465";"      13";"     6.1";"     245";"     3.3";"     300"
"3913";"0";"01";"PV26  ";"2011JJ00";"    6835";"      13";"     5.6";"     265";"     3.9";"     335"
"3914";"0";"01";"PV26  ";"2012JJ00";"    6250";"      12";"     5.1";"     240";"     3.8";"     310"
"3915";"0";"01";"PV26  ";"2013JJ00";"    7185";"      14";"     5.8";"     245";"     3.4";"     310"
"3916";"0";"01";"PV26  ";"2014JJ00";"    7510";"      16";"     6.0";"     315";"     4.2";"     375"
"3917";"0";"01";"PV26  ";"2015JJ00";"    8765";"      20";"     6.9";"     300";"     3.4";"     385"
"3918";"0";"01";"PV26  ";"2016JJ00";"    8035";"      19";"     6.3";"     240";"     3.0";"     330"
"3919";"0";"01";"PV26  ";"2017JJ00";"    7265";"      19";"     5.7";"     175";"     2.4";"     225"
"3920";"0";"01";"PV27  ";"2010JJ00";"   19245";"      14";"     7.2";"     685";"     3.6";"     955"
"3921";"0";"01";"PV27  ";"2011JJ00";"   18860";"      13";"     7.0";"     650";"     3.5";"     860"
"3922";"0";"01";"PV27  ";"2012JJ00";"   18205";"      13";"     6.7";"     665";"     3.7";"     845"
"3923";"0";"01";"PV27  ";"2013JJ00";"   19720";"      14";"     7.2";"     740";"     3.8";"     995"
"3924";"0";"01";"PV27  ";"2014JJ00";"   20120";"      16";"     7.3";"     970";"     4.8";"    1215"
"3925";"0";"01";"PV27  ";"2015JJ00";"   19775";"      16";"     7.2";"     815";"     4.1";"    1010"
"3926";"0";"01";"PV27  ";"2016JJ00";"   17255";"      16";"     6.2";"     775";"     4.5";"     965"
"3927";"0";"01";"PV27  ";"2017JJ00";"   14220";"      15";"     5.1";"     505";"     3.5";"     610"
"3928";"0";"01";"PV28  ";"2010JJ00";"   17190";"      11";"     4.9";"     890";"     5.2";"    1205"
"3929";"0";"01";"PV28  ";"2011JJ00";"   19155";"      12";"     5.4";"     895";"     4.7";"    1225"
"3930";"0";"01";"PV28  ";"2012JJ00";"   19890";"      14";"     5.6";"    1000";"     5.0";"    1355"
"3931";"0";"01";"PV28  ";"2013JJ00";"   19330";"      14";"     5.4";"    1155";"     6.0";"    1525"
"3932";"0";"01";"PV28  ";"2014JJ00";"   22505";"      17";"     6.3";"    1275";"     5.7";"    1685"
"3933";"0";"01";"PV28  ";"2015JJ00";"   22605";"      19";"     6.3";"    1175";"     5.2";"    1495"
"3934";"0";"01";"PV28  ";"2016JJ00";"   24410";"      21";"     6.7";"    1140";"     4.7";"    1425"
"3935";"0";"01";"PV28  ";"2017JJ00";"   21560";"      22";"     5.9";"     815";"     3.8";"    1110"
"3936";"0";"01";"PV29  ";"2010JJ00";"    2200";"      21";"     5.8";"      70";"     3.1";"      95"
"3937";"0";"01";"PV29  ";"2011JJ00";"    2160";"      20";"     5.7";"      90";"     4.1";"     120"
"3938";"0";"01";"PV29  ";"2012JJ00";"    1800";"      18";"     4.7";"      80";"     4.5";"     120"
"3939";"0";"01";"PV29  ";"2013JJ00";"    1660";"      18";"     4.4";"      60";"     3.6";"      75"
"3940";"0";"01";"PV29  ";"2014JJ00";"    1500";"      19";"     3.9";"      55";"     3.8";"      85"
"3941";"0";"01";"PV29  ";"2015JJ00";"    1380";"      19";"     3.6";"      70";"     5.1";"      90"
"3942";"0";"01";"PV29  ";"2016JJ00";"    1280";"      19";"     3.4";"      80";"     6.3";"     105"
"3943";"0";"01";"PV29  ";"2017JJ00";"     860";"      17";"     2.3";"      50";"     6.1";"      70"
"3944";"0";"01";"PV30  ";"2010JJ00";"   16930";"      17";"     6.9";"     685";"     4.0";"    1010"
"3945";"0";"01";"PV30  ";"2011JJ00";"   16695";"      17";"     6.8";"     620";"     3.7";"     835"
"3946";"0";"01";"PV30  ";"2012JJ00";"   16990";"      17";"     6.9";"     605";"     3.6";"     790"
"3947";"0";"01";"PV30  ";"2013JJ00";"   17300";"      17";"     7.0";"     635";"     3.7";"     820"
"3948";"0";"01";"PV30  ";"2014JJ00";"   19165";"      21";"     7.7";"     695";"     3.6";"     850"
"3949";"0";"01";"PV30  ";"2015JJ00";"   17455";"      21";"     7.0";"     720";"     4.1";"     885"
"3950";"0";"01";"PV30  ";"2016JJ00";"   13575";"      19";"     5.4";"     585";"     4.3";"     725"
"3951";"0";"01";"PV30  ";"2017JJ00";"   10615";"      18";"     4.2";"     400";"     3.8";"     525"
"3952";"0";"01";"PV31  ";"2010JJ00";"    9325";"      20";"     8.3";"     345";"     3.7";"     515"
"3953";"0";"01";"PV31  ";"2011JJ00";"    8585";"      17";"     7.6";"     325";"     3.8";"     485"
"3954";"0";"01";"PV31  ";"2012JJ00";"    9015";"      19";"     8.0";"     355";"     3.9";"     485"
"3955";"0";"01";"PV31  ";"2013JJ00";"    8075";"      18";"     7.2";"     310";"     3.8";"     400"
"3956";"0";"01";"PV31  ";"2014JJ00";"    8335";"      19";"     7.4";"     295";"     3.5";"     400"
"3957";"0";"01";"PV31  ";"2015JJ00";"    7610";"      19";"     6.8";"     365";"     4.8";"     465"
"3958";"0";"01";"PV31  ";"2016JJ00";"    5865";"      17";"     5.3";"     215";"     3.7";"     255"
"3959";"0";"01";"PV31  ";"2017JJ00";"    5095";"      17";"     4.6";"     200";"     3.9";"     270"
"3960";"0";"01";"PV99  ";"2010JJ00";"      15";"       1";"     0.0";"       5";"    20.0";"       5"
"3961";"0";"01";"PV99  ";"2011JJ00";"      10";"       1";"";"       0";"     0.0";"       0"
"3962";"0";"01";"PV99  ";"2012JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"3963";"0";"01";"PV99  ";"2013JJ00";"      10";"       2";"";"       0";"     0.0";"       5"
"3964";"0";"01";"PV99  ";"2014JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"3965";"0";"01";"PV99  ";"2015JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"3966";"0";"01";"PV99  ";"2016JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"3967";"0";"01";"PV99  ";"2017JJ00";"       5";"       1";"";"       0";"     0.0";"       0"
"7680";"0";"02";"PV20  ";"2010JJ00";"     450";"       2";"     0.8";"      55";"    12.4";"      80"
"7681";"0";"02";"PV20  ";"2011JJ00";"     470";"       2";"     0.8";"      50";"    10.4";"      75"
"7682";"0";"02";"PV20  ";"2012JJ00";"     600";"       3";"     1.0";"      50";"     8.5";"      75"
"7683";"0";"02";"PV20  ";"2013JJ00";"     625";"       3";"     1.1";"      50";"     8.0";"      75"
"7684";"0";"02";"PV20  ";"2014JJ00";"     560";"       3";"     1.0";"      60";"    10.3";"      85"
"7685";"0";"02";"PV20  ";"2015JJ00";"     570";"       3";"     1.0";"      40";"     6.7";"      55"
"7686";"0";"02";"PV20  ";"2016JJ00";"     490";"       3";"     0.8";"      40";"     8.4";"      55"
"7687";"0";"02";"PV20  ";"2017JJ00";"     415";"       4";"     0.7";"      30";"     6.7";"      60"
