"ID";"RegioS";"Perioden";"AantalPersonen_1";"GemiddeldBesteedbaarInkomen_2";"RangnummerBesteedbaarInkomen_3";"GemiddeldGestandaardiseerdInkomen_4";"RangnummerGestandaardiseerdInkomen_5";"AantalPersonen_6";"InVanPersonenMetEnZonderInkomen_7";"GemiddeldPersoonlijkInkomen_8";"RangnummerPersoonlijkInkomen_9";"GemiddeldBesteedbaarInkomen_10";"RangnummerBesteedbaarInkomen_11"
"66";"PV20  ";"2005JJ00";"   574.0";"    11.5";"      11";"    18.2";"      12";"   384.2";"      67";"    23.2";"      12";"    16.4";"      12"
"67";"PV20  ";"2006JJ00";"   573.6";"    12.2";"      12";"    19.3";"      12";"   401.5";"      70";"    23.7";"      12";"    16.9";"      12"
"68";"PV20  ";"2007JJ00";"   573.5";"    12.9";"      12";"    20.5";"      12";"   406.3";"      71";"    24.5";"      12";"    17.8";"      12"
"69";"PV20  ";"2008JJ00";"   574.1";"    13.4";"      12";"    21.2";"      12";"   413.1";"      72";"    25.5";"      12";"    18.2";"      12"
"70";"PV20  ";"2009XX00";"   576.7";"    13.6";"      11";"    21.3";"      12";"   415.0";"      72";"    26.2";"      11";"    18.4";"      12"
"71";"PV20  ";"2009JJ00";"   576.7";"    13.5";"      11";"    21.2";"      12";"   414.5";"      72";"    26.1";"      12";"    18.4";"      12"
"72";"PV20  ";"2010JJ00";"   579.0";"    13.5";"      11";"    21.2";"      12";"   415.3";"      72";"    26.4";"      11";"    18.4";"      12"
"73";"PV20  ";"2011JJ00";"   580.9";"    13.6";"      12";"    21.4";"      12";"   418.2";"      72";"    26.8";"      11";"    18.5";"      12"
"74";"PV20  ";"2012JJ00";"   581.7";"    13.6";"      12";"    21.3";"      12";"   417.4";"      72";"    27.0";"      11";"    18.6";"      12"
"75";"PV20  ";"2013JJ00";"   582.7";"       .";"       .";"    21.5";"      12";"   415.2";"      71";"    27.5";"      11";"       .";"       ."
"76";"PV20  ";"2014JJ00";"   583.9";"       .";"       .";"    22.3";"      12";"   414.4";"      71";"    28.0";"      11";"       .";"       ."
"77";"PV21  ";"2005JJ00";"   642.2";"    11.5";"      12";"    18.8";"      11";"   427.7";"      67";"    23.2";"      11";"    16.5";"      11"
