"ID";"Marges";"RegioS";"Perioden";"VoeltZichWelEensOnveilig_1";"VoeltZichVaakOnveilig_2";"VanZakkenrollerij_3";"VanBerovingOpStraat_4";"VanInbraakInWoning_5";"VanMishandeling_6";"VoeltZichWelEensOnveiligInBuurt_7";"VoeltZichVaakOnveiligInBuurt_8";"SAvondsOpStraatInBuurtOnveilig_9";"SAvondsAlleenThuisOnveilig_10";"DoetSAvondsNietOpen_11";"RijdtOfLooptOm_12";"BangSlachtofferCriminaliteitTeWorden_13";"DenktDatErVeelCriminaliteitInBuurt_14";"VindtCriminaliteitInBuurtToegenomen_15";"VindtCriminaliteitInBuurtAfgenomen_16";"VindtCriminaliteitInBuurtGelijk_17";"RapportcijferVeiligheidInBuurt_18";"RondomUitgaansgelegenheden_19";"OpPlekkenWaarJongerenRondhangen_20";"InCentrumVanWoonplaats_21";"InWinkelgebiedWinkelcentrum_22";"InOpenbaarVervoer_23";"BijTreinstationInWoonplaats_24";"InEigenHuis_25";"DoorOnbekendenOpStraat_26";"DoorOnbekendenInOpenbaarVervoer_27";"DoorPersoneelVanWinkelsEnBedrijven_28";"DoorPersoneelVanOverheidsinstanties_29";"DoorBekendenPartnerFamilieVriend_30"
"30";"1 ";"PV20   ";"2012JJ00";"    33.1";"     1.3";"     1.8";"     1.5";"     5.9";"     2.3";"    15.6";"     1.4";"     2.7";"     1.9";"     5.0";"     1.8";"     2.0";"     7.1";"     9.0";"     4.3";"    51.6";"     7.3";"    24.1";"    38.5";"    16.0";"    12.5";"    12.8";"    14.3";"     6.6";"    21.1";"    13.1";"    15.6";"    13.1";"     7.4"
"31";"1 ";"PV20   ";"2013JJ00";"    34.9";"     1.7";"     2.8";"     1.8";"     6.4";"     2.5";"    17.7";"     1.5";"     3.2";"     1.9";"     5.2";"     2.1";"     2.9";"     8.5";"    10.4";"     3.9";"    51.6";"     7.3";"    25.1";"    38.9";"    14.8";"    10.9";"    11.6";"    15.8";"     6.7";"    19.5";"    10.7";"    14.7";"    13.5";"     6.5"
"32";"1 ";"PV20   ";"2014JJ00";"    32.2";"     1.3";"     2.2";"     1.6";"     7.0";"     1.9";"    16.5";"     1.7";"     2.4";"     1.8";"     5.7";"     2.3";"     2.4";"     8.0";"     9.7";"     4.2";"    52.9";"     7.3";"    24.4";"    35.8";"    15.1";"    10.5";"    10.1";"    12.9";"     7.3";"    20.4";"    10.8";"    14.7";"    12.6";"     7.0"
"33";"1 ";"PV20   ";"2015JJ00";"    32.9";"     1.3";"     2.6";"     1.6";"     7.2";"     2.0";"    18.3";"     1.6";"     2.9";"     2.5";"     6.6";"     2.4";"     2.3";"     8.3";"     9.8";"     4.3";"    52.0";"     7.3";"    23.1";"    36.1";"    14.8";"    11.9";"    11.2";"    12.9";"     7.6";"    21.0";"    12.1";"    12.4";"    11.4";"     8.1"
"34";"1 ";"PV20   ";"2016JJ00";"    33.4";"     1.0";"     1.5";"     1.1";"     5.9";"     1.6";"    14.7";"     0.9";"     2.6";"     1.6";"     6.6";"     1.5";"     1.8";"     7.6";"     9.3";"     3.5";"    52.5";"     7.4";"    23.1";"    35.0";"    13.8";"    10.6";"    11.2";"    12.7";"     7.0";"    19.0";"     9.3";"    11.9";"     9.9";"     5.9"
"35";"1 ";"PV20   ";"2017JJ00";"    33.7";"     1.3";"     2.0";"     0.7";"     6.2";"     1.7";"    15.8";"     1.5";"     2.1";"     1.4";"     5.5";"     1.8";"     2.0";"     7.0";"     9.3";"     3.4";"    50.6";"     7.4";"    22.0";"    35.5";"    12.8";"     9.0";"    12.0";"    12.2";"     6.7";"    17.8";"    10.6";"    11.0";"     9.6";"     6.8"
"36";"1 ";"PV21   ";"2012JJ00";"    27.2";"     1.2";"     2.5";"     1.4";"     6.5";"     1.2";"    11.4";"     1.0";"     1.9";"     2.0";"     3.6";"     1.5";"     2.5";"     4.8";"     8.6";"     2.9";"    51.7";"     7.5";"    21.4";"    33.9";"    15.7";"    11.5";"    10.1";"    10.6";"     7.8";"    17.6";"    10.2";"    13.7";"    12.0";"     7.4"
"37";"1 ";"PV21   ";"2013JJ00";"    28.1";"     1.1";"     2.3";"     1.0";"     7.3";"     2.0";"    12.3";"     0.9";"     1.7";"     1.4";"     3.9";"     1.4";"     1.6";"     5.0";"     9.4";"     3.3";"    50.9";"     7.5";"    21.0";"    32.5";"    12.7";"    10.5";"    10.1";"    10.8";"     6.4";"    15.6";"     8.6";"    12.0";"    11.5";"     6.8"
"38";"1 ";"PV21   ";"2014JJ00";"    30.5";"     1.4";"     1.5";"     1.3";"     6.7";"     1.5";"    13.3";"     0.8";"     1.7";"     1.4";"     4.8";"     1.4";"     2.2";"     5.6";"    11.1";"     4.2";"    50.1";"     7.5";"    20.3";"    31.3";"    13.2";"     9.8";"     8.9";"     8.4";"     6.3";"    15.0";"     7.8";"    12.5";"    12.3";"     6.5"
"39";"1 ";"PV21   ";"2015JJ00";"    28.1";"     1.0";"     1.3";"     1.0";"     6.8";"     1.5";"    12.3";"     0.7";"     2.2";"     1.5";"     4.6";"     1.3";"     2.0";"     5.2";"     9.3";"     2.7";"    52.4";"     7.5";"    20.4";"    32.4";"    12.8";"     9.2";"     9.3";"     8.6";"     6.8";"    15.2";"     7.0";"    10.1";"     9.2";"     7.6"
