"TableInfos"
"ID";"Title";"ShortTitle";"Identifier";"Summary";"Modified";"ReasonDelivery";"ExplanatoryText";"Language";"Catalog";"Frequency";"Period";"ShortDescription";"Description";"DefaultPresentation";"DefaultSelection";"GraphTypes";"OutputStatus";"Source";"MetaDataModified";"SearchPriority"
"0";"(On)veiligheidsbeleving; regio ";"(On)veiligheidsbeleving; regio";"81877NED";"Onveiligheidsgevoelens, kans op slachtofferschap, respectloos gedrag 
in buurt en woonplaats";"2018-03-01T15:30:00";"Actualisering";"";"nl";"CBS";"Perjaar";"2012-2017";"
De Veiligheidsmonitor (VM) is een tweejaarlijks terugkerend bevolkingsonderzoek naar veiligheid, leefbaarheid en slachtofferschap. Ook wordt er aandacht besteed aan overlast in de buurt, respectloos gedrag, preventiemaatregelen, het functioneren van de politie en het gemeentelijke veiligheidsbeleid. Hierdoor wordt op eenduidige wijze cijfers verkregen over de (beleving van) veiligheid op zowel landelijk, regionaal als (beneden)lokaal niveau.

In deze tabel staat de beleving van de (on)veiligheid door de burger centraal. Het gaat dan om de veiligheidsbeleving in de eigen buurt, in de eigen woonplaats, en in het algemeen. Ook het thema respectloos gedrag komt aan de orde. De gegevens worden weergegeven voor Nederland in totaliteit, de landsdelen en provincies, en daarnaast ook voor de regionale politie eenheden, politie districten, politie basisteams en voor alle gemeenten met meer dan 70 000 inwoners. Van deze gemeenten met meer dan 70 000 inwoners zijn ook de cijfers van de stedennetwerken G4 en G32 en de overige gemeenten die niet tot deze stedennetwerken behoren opgenomen. 

De Veiligheidsmonitor is een enquêteonderzoek gebaseerd op een steekproef. Dit betekent dat de weergegeven cijfers schattingen zijn, waarvoor betrouwbaarheidsmarges gelden. Deze marges zijn ook in de tabel opgenomen. De cijfers hebben betrekking op personen van 15 jaar of ouder, tenzij anders vermeld. De enquête is uitgevoerd in de periode augustus-november.

Door wijzigingen in de vraagstellingen en in de onderzoeksopzet zijn de uitkomsten van de Veiligheidsmonitor (VM) niet zonder meer te vergelijken met die van eerdere slachtofferenquêtes, zoals de Integrale Veiligheidsmonitor (IVM; 2008-2011) en de Veiligheidsmonitor Rijk (VMR; 2005-2008). Voor meer informatie zie de onder 4. Bronnen en Methoden opgenomen onderzoeksbeschrijving Veiligheidsmonitor vanaf 2012. 

Status van de cijfers:
De cijfers in deze tabel zijn definitief.

Wijzigingen per 1 maart 2018
De cijfers voor het verslagjaar 2017 zijn toegevoegd.

Wanneer komen er nieuwe cijfers?
Nieuwe gegevens verschijnen tweejaarlijks omstreeks maart.
";"INHOUDSOPGAVE

1. Toelichting
2. Definities en verklaring van symbolen
3. Koppelingen naar relevante tabellen en artikelen
4. Bronnen en methoden
5. Meer informatie

1. TOELICHTING

De Veiligheidsmonitor (VM) is een tweejaarlijks terugkerend bevolkingsonderzoek naar veiligheid, leefbaarheid en slachtofferschap. Ook wordt er aandacht besteed aan overlast in de buurt, respectloos gedrag, preventiemaatregelen, het functioneren van de politie en het gemeentelijke veiligheidsbeleid. Hierdoor wordt op eenduidige wijze cijfers verkregen over de (beleving van) veiligheid op zowel landelijk, regionaal als (beneden)lokaal niveau.

In deze tabel staat de beleving van de (on)veiligheid door de burger centraal. Het gaat dan om de veiligheidsbeleving in de eigen buurt, in de eigen woonplaats, en in het algemeen. Ook het thema respectloos gedrag komt aan de orde. De gegevens worden weergegeven voor Nederland in totaliteit, de landsdelen en provincies, en daarnaast ook voor de regionale politie eenheden, politie districten, politie basisteams en voor alle gemeenten met meer dan 70 000 inwoners. Van deze gemeenten met meer dan 70 000 inwoners zijn ook de cijfers van de stedennetwerken G4 en G32 en de overige gemeenten die niet tot deze stedennetwerken behoren opgenomen. 

De Veiligheidsmonitor is een enquêteonderzoek gebaseerd op een steekproef. Dit betekent dat de weergegeven cijfers schattingen zijn, waarvoor betrouwbaarheidsmarges gelden. Deze marges zijn ook in de tabel opgenomen. De cijfers hebben betrekking op personen van 15 jaar of ouder, tenzij anders vermeld. De enquête is uitgevoerd in de periode augustus-november.

Door wijzigingen in de vraagstellingen en in de onderzoeksopzet zijn de uitkomsten van de Veiligheidsmonitor (VM) niet zonder meer te vergelijken met die van eerdere slachtofferenquêtes, zoals de Integrale Veiligheidsmonitor (IVM; 2008-2011) en de Veiligheidsmonitor Rijk (VMR; 2005-2008). Voor meer informatie zie de onder 4. Bronnen en Methoden opgenomen onderzoeksbeschrijving Veiligheidsmonitor vanaf 2012. 

Status van de cijfers:
De cijfers in deze tabel zijn definitief.

Wijzigingen per 1 maart 2018
De cijfers voor het verslagjaar 2017 zijn toegevoegd.

Wanneer komen er nieuwe cijfers?
Nieuwe gegevens verschijnen tweejaarlijks omstreeks maart.

2. DEFINITIES EN VERKLARING VAN SYMBOLEN

Definities:

(On)veiligheidsbeleving: 
Onveiligheidsgevoelens van de burger, beoordeling van criminaliteit en veiligheid, inschatting van kans om slachtoffer te worden van criminaliteit. 

Respectloos gedrag: 
Gedrag waarbij de grenzen van goed fatsoen naar inschatting van de ondervraagde worden overschreden. 

Verklaring van symbolen:

niets (blanco) : het cijfer kan op logische gronden niet voorkomen
. : het cijfer is onbekend, onvoldoende betrouwbaar of geheim
* : voorlopige cijfers
** : nader voorlopige cijfers

3. KOPPELINGEN NAAR RELEVANTE TABELLEN EN ARTIKELEN

Relevante tabellen:

<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81924NED'>Leefbaarheid buurt; regio </a>

<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81928NED'>Burgers en politie; regio</a>

<a href='https://opendata.cbs.nl/statline/#/CBS/nl/dataset/81926NED'>Preventie; regio</a>

Meer informatie is te vinden op de <a href='http://www.cbs.nl/nl-NL/menu/themas/veiligheid-recht/nieuws/default.htm '>themapagina Veiligheid en Recht</a>.

4. BRONNEN EN METHODEN

De onderzoeksmethode van deze tabel is te vinden in de <a href='http://www.cbs.nl/nl-NL/menu/themas/veiligheid-recht/methoden/dataverzameling/korte-onderzoeksbeschrijvingen/2013-kob-vm2012-art.htm '>onderzoeksbeschrijving Veiligheidsmonitor</a>

5. MEER INFORMATIE

<a href='https://www.cbs.nl/nl-nl/over-ons/contact/infoservice '>Infoservice.</a>

Copyright (c) Centraal Bureau voor de Statistiek, Den Haag/Heerlen 
Verveelvoudiging is toegestaan, mits het CBS als bron wordt vermeld.";"ts=1519328711014&graphtype=Table&r=Topics&k=RegioS,Perioden&t=Marges&_gu=PV";"$filter=((Marges eq '1 ')) and ((Perioden eq '2017JJ00')) and ((substringof('PV',RegioS)))";"Table,Bar,Map";"Regulier";"CBS.";"2018-03-01T14:30:00";"3"
"DataProperties"
ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default
"0";"0";;"Dimension";"Marges";"Marges";"";;;;;
"1";"1";;"GeoDimension";"RegioS";"Regio's";"";;;;;
"2";"2";;"TimeDimension";"Perioden";"Perioden";"";"false";;;;
"3";;;"TopicGroup";"";"(On)veiligheidsbeleving ";"Het gaat om onveiligheidsgevoelens van de burger, de beoordeling van de criminaliteit en veiligheid, en de inschatting van kans om slachtoffer te worden van criminaliteit. 

";;;;;
"4";;"3";"TopicGroup";"";"Algemeen";"In de VM is de respondenten een aantal vragen gesteld over de veiligheidsbeleving in het algemeen en over de inschatting van de kans om zelf slachtoffer te worden van criminaliteit. 
";;;;;
"5";;"4";"TopicGroup";"";"Onveiligheidsgevoelens";;;;;;
"6";"3";"5";"Topic";"VoeltZichWelEensOnveilig_1";"Voelt zich wel eens onveilig";"Gevraagd is: voelt u zich wel eens onveilig? Antwoordmogelijkheden:  'ja', 'nee', 'geen antwoord'. Weergegeven is percentage 'ja'.
";;"Double";"%";"1";"Missing"
"7";"4";"5";"Topic";"VoeltZichVaakOnveilig_2";"Voelt zich vaak onveilig";"Gevraagd is: voelt u zich vaak, soms, of zelden onveilig? Antwoordmogelijkheden:  'vaak', 'soms', 'zelden', 'geen antwoord'. Deze vraag is alleen gesteld aan degenen die 'ja' antwoordden op de vraag of men zich wel eens onveilig voelt.  Het weergegeven percentage heeft wel betrekking op alle respondenten.
";;"Double";"%";"1";"Missing"
"8";;"4";"TopicGroup";"";"Kans om slachtoffer te worden";"Aan de respondenten is de vraag gesteld: 'Hoe groot denkt u dat de kans is dat u in de komende 12 maanden zelf slachtoffer wordt van zakkenrollerij (zonder geweld), 'beroving op straat (met geweld)', inbraak in woning' en 'mishandeling' ?' 
Antwoordmogelijkheden: 'heel groot', 'groot', 'niet groot en niet klein', 'klein' 'heel klein', 'geen antwoord'. Het weergegeven percentage heeft betrekking op respondenten die als antwoord 'heel groot' of 'groot' hebben gegeven.


";;;;;
"9";"5";"8";"Topic";"VanZakkenrollerij_3";"Van zakkenrollerij ";;;"Double";"% '(heel) groot'";"1";"Missing"
"10";"6";"8";"Topic";"VanBerovingOpStraat_4";"Van beroving op straat ";;;"Double";"% '(heel) groot'";"1";"Missing"
"11";"7";"8";"Topic";"VanInbraakInWoning_5";"Van inbraak in woning";;;"Double";"% '(heel) groot'";"1";"Missing"
"12";"8";"8";"Topic";"VanMishandeling_6";"Van mishandeling ";;;"Double";"% '(heel) groot'";"1";"Missing"
"13";;"3";"TopicGroup";"";"Buurt";;;;;;
