"ID";"Marges";"RegioS";"Perioden";"SAvondsLichtBrandenBijAfwezigheid_1";"FietsInBewaakteFietsenstalling_2";"WaardevolleSpullenMeenemenUitAuto_3";"WaardevolleSpullenThuisLaten_4";"SociaalPreventiefGedragSchaalscore_5";"ExtraVeiligheidsslotenOpBuitendeuren_6";"RolluikenVoorRamenEnOfDeuren_7";"Buitenverlichting_8";"Alarminstallatie_9";"PreventieInRondWoningSomscore_10"
"30";"1 ";"PV20   ";"2012JJ00";"34.1";"28.3";"59.4";"29.9";"1.5";"60.6";"9.1";"76";"9.2";"1.5"
"31";"1 ";"PV20   ";"2013JJ00";"33.4";"28.1";"61.9";"29.4";"1.5";"61.3";"7.9";"74.4";"9.2";"1.5"
"32";"1 ";"PV20   ";"2014JJ00";"33.4";"27.6";"60.5";"29.3";"1.5";"58.3";"8.2";"73.2";"8.6";"1.5"
"33";"1 ";"PV20   ";"2015JJ00";"35.8";"29.6";"59.8";"28.4";"1.5";"58.3";"9.9";"75.4";"7.5";"1.5"
"34";"1 ";"PV20   ";"2016JJ00";"33.2";"30.3";"60.7";"27.5";"1.5";"58.2";"10.7";"73.2";"8.3";"1.5"
"35";"1 ";"PV20   ";"2017JJ00";"34.6";"28.5";"60.7";"25.6";"1.5";"59";"9";"73.7";"8.4";"1.5"
"36";"1 ";"PV21   ";"2012JJ00";"36.6";"23.6";"62.6";"29.7";"1.5";"62.4";"7.4";"81.4";"9.7";"1.6"
"37";"1 ";"PV21   ";"2013JJ00";"36.6";"23.7";"62.7";"28.6";"1.5";"64.6";"6.1";"80.6";"10.2";"1.6"
"38";"1 ";"PV21   ";"2014JJ00";"39.6";"24.8";"63.4";"30.2";"1.6";"64.7";"7.6";"82.1";"10.1";"1.6"
"39";"1 ";"PV21   ";"2015JJ00";"39.9";"25.6";"60.9";"29.2";"1.6";"62";"7.4";"80.3";"8.7";"1.6"
"40";"1 ";"PV21   ";"2016JJ00";"41.6";"27";"61.8";"27.6";"1.6";"61.8";"7";"80.3";"8.6";"1.6"
"41";"1 ";"PV21   ";"2017JJ00";"37.9";"26";"58.7";"27.8";"1.5";"60.9";"7.2";"79.2";"10.3";"1.6"
"42";"1 ";"PV22   ";"2012JJ00";"39.4";"26.4";"66";"31.4";"1.6";"64.6";"12.4";"85.5";"10.7";"1.7"
"43";"1 ";"PV22   ";"2013JJ00";"40.3";"26.3";"67.2";"32.5";"1.7";"65.9";"13.2";"85.7";"11.3";"1.8"
"44";"1 ";"PV22   ";"2014JJ00";"41.2";"27.7";"64.9";"30.7";"1.6";"63.8";"13.7";"86.4";"11.6";"1.8"
"45";"1 ";"PV22   ";"2015JJ00";"42.4";"28.8";"65.8";"31.8";"1.7";"64.5";"14.5";"85.9";"11.3";"1.8"
"46";"1 ";"PV22   ";"2016JJ00";"42.9";"28.7";"66.5";"31.1";"1.7";"66.1";"13.2";"86.1";"11.2";"1.8"
"47";"1 ";"PV22   ";"2017JJ00";"43.7";"28";"63.7";"28.5";"1.6";"64.3";"14.2";"86.2";"11.5";"1.8"
"48";"1 ";"PV23   ";"2012JJ00";"42.1";"32";"65.8";"31.3";"1.7";"65.1";"18.8";"81.8";"10.7";"1.8"
"49";"1 ";"PV23   ";"2013JJ00";"42";"32.8";"68.7";"34.5";"1.8";"65.6";"19.6";"80.7";"10.1";"1.8"
"50";"1 ";"PV23   ";"2014JJ00";"43";"32.2";"67.9";"32.3";"1.8";"64.1";"18.7";"81.3";"10.7";"1.7"
"51";"1 ";"PV23   ";"2015JJ00";"43.7";"32.6";"67.2";"31.3";"1.7";"66.2";"19.9";"81.9";"11.2";"1.8"
"52";"1 ";"PV23   ";"2016JJ00";"42.8";"34.5";"67.1";"30";"1.7";"63.1";"20.3";"81.8";"11.3";"1.8"
"53";"1 ";"PV23   ";"2017JJ00";"42.2";"33.5";"65.8";"28.8";"1.7";"61.9";"18";"81.1";"10.3";"1.7"
"54";"1 ";"PV24   ";"2012JJ00";"41.2";"31";"69.6";"31.6";"1.7";"67.2";"12.1";"83.1";"19";"1.8"
"55";"1 ";"PV24   ";"2013JJ00";"42.4";"33";"72";"33.1";"1.8";"69.8";"11.8";"82";"15.6";"1.8"
"56";"1 ";"PV24   ";"2014JJ00";"44.7";"33.2";"72.8";"32.8";"1.8";"68.5";"12.7";"83.5";"17";"1.8"
"57";"1 ";"PV24   ";"2015JJ00";"43.6";"32.8";"69.8";"32.7";"1.8";"65.6";"12.5";"81.6";"15.8";"1.8"
"58";"1 ";"PV24   ";"2016JJ00";"42.9";"31.7";"69";"29.8";"1.7";"65.7";"14.2";"83";"18.2";"1.8"
